"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"10000006","GSM漫游卡400（双模）","GSM漫游卡400（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品",""
"10000100","GSM大港单向卡","GSM大港单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000108","GSM宁河单向卡","GSM宁河单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000109","GSM静海单向卡","GSM静海单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"40000050","MTI","MTI","普通GSM业务","1997/9/22","2004/1/1","非组合产品",""
"30000028","07长途卡","07长途卡","普通GSM业务","2007/8/9","2050/1/1","非组合产品","停售"
"10000080","公务套餐100","公务套餐100","普通GSM业务","2009/2/1","2050/1/1","非组合产品","停售"
"10000081","公务套餐200","公务套餐200","普通GSM业务","2009/2/1","2050/1/1","非组合产品","停售"
"10000034","喜相逢静海卡","喜相逢静海卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000049","单向喜相逢津南卡","单向喜相逢津南卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000052","单向喜相逢武清卡","单向喜相逢武清卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000055","新军民卡","新军民卡","普通GSM业务","2004/6/14","2050/1/1","非组合产品","停售"
"10000019","关系卡","关系卡","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"40000017","员工卡5(免本地本网)","员工卡5(免本地本网)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000022","如意通二代","如意通二代","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000027","员工卡10(300元)","员工卡10(300元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"30000008","新IP无线公话超市卡","新IP无线公话超市卡","GSM无线公商话","2007/3/10","2050/1/1","非组合产品",""
"10000095","GSM工薪卡45A","GSM工薪卡45A","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000104","GSM北辰单向卡","GSM北辰单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品",""
"30000044","GSM石化10套餐","GSM石化10套餐","普通GSM业务","2006/11/1","2050/1/1","非组合产品","停售"
"30000045","标准套餐（休闲卡）","标准套餐（休闲卡）","PPS业务","2007/12/1","2050/1/1","非组合产品",""
"10000113","公务卡45标准版","公务卡45标准版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"10000087","至尊118","至尊118","普通GSM业务","2007/1/1","2050/1/1","非组合产品","停售"
"20000013","UP新势力A卡(G网)","UP新势力A卡(G网)","普通GSM业务","2005/3/10","2050/1/1","非组合产品",""
"10000029","喜相逢大港卡","喜相逢大港卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000036","喜相逢武清卡","喜相逢武清卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000041","GSM卓越联合卡","GSM卓越联合卡","普通GSM业务","2003/7/7","2050/1/1","非组合产品","停售"
"10000043","单向喜相逢北辰卡","单向喜相逢北辰卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000044","单向喜相逢宝坻卡","单向喜相逢宝坻卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000051","单向喜相逢宁河卡","单向喜相逢宁河卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000016","本地通二代20元免被叫","本地通二代20元免被叫","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"30000020","GSM汽车防盗卡","GSM汽车防盗卡","普通GSM业务","2007/3/1","2050/1/1","非组合产品",""
"30000021","智能网大众卡(0元初始话费-整号)","智能网大众卡(0元初始话费-整号)","PPS业务","2006/4/20","2050/1/1","非组合产品",""
"10000013","本地通","本地通","普通GSM业务","2002/5/23","2050/1/1","非组合产品","停售"
"40000002","奥运卡2(150-300)","奥运卡2(150-300)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000021","自由卡","自由卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品","停售"
"40000014","员工卡2(100元)","员工卡2(100元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000018","员工卡6(250元)","员工卡6(250元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000019","银行卡(套餐二)","银行卡(套餐二)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000074","尊贵298","尊贵298","GC双模G网签约业务","2005/7/15","2050/1/1","非组合产品","停售"
"30000024","蓟县电厂员工套餐","蓟县电厂员工套餐","普通GSM业务","2006/9/15","2050/1/1","非组合产品","停售"
"30000025","蓟县电厂家属套餐","蓟县电厂家属套餐","普通GSM业务","2006/9/15","2050/1/1","非组合产品","停售"
"10000002","GSM心连心50（双模）","GSM心连心50（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品","停售"
"10000005","GSM漫游卡300（双模）","GSM漫游卡300（双模）","GC双模G网签约业务","2006/6/1","2050/1/1","非组合产品",""
"10000007","GSM综合智能网公务卡","GSM综合智能网公务卡","普通GSM业务","2006/10/1","2050/1/1","非组合产品","停售"
"10000009","公务卡78优惠版","公务卡78优惠版","普通GSM业务","2005/4/15","2050/1/1","非组合产品",""
"30000003","G网长途卡","G网长途卡","PPS业务","2004/8/1","2050/1/1","非组合产品",""
"10000024","荣誉员工卡(RYG)","荣誉员工卡(RYG)","普通GSM业务","2002/9/12","2050/1/1","非组合产品","停售"
"10000096","GSM工薪卡78","GSM工薪卡78","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000098","GSM滨海单向卡","GSM滨海单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
"10000103","GSM西青单向卡","GSM西青单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品",""
"10000107","GSM武清单向卡","GSM武清单向卡","普通GSM业务","2005/5/20","2050/1/1","非组合产品","停售"
