"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS固定电话","99400290","基本通话费9折(LL1R48)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99400289","基本通话费9折(LL1R3M)","2000/1/31","2099/12/31","0","0"
"BSS互联网","99400052","联通专网协议套餐600元-AD静态","2006/11/1","2050/12/31","600","1"
"BSS数据通信","99400256","联通专网协议套餐2000元","2006/11/1","2050/12/31","0","0"
"BSS互联网","99200077","公免宽带产品final","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100311","基本通话费9折，月租9","2000/1/1","2099/1/1 23:59:59","10634.87","200"
"BSS固定电话","99100447","月租85,免移动话费,市话(除区间)9折,IP长途7折(LBJ85)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100449","市话费包月120元(LBY120)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100454","中通专用套餐(FZT50)","2006/10/20","2099/1/1","0","0"
"BSS数据通信","99400134","联通专网协议套餐2394元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99100020","市区2700，区内9折，移动4折，IP7折(MSZJ9)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100476","[基本通话费9折](LIN2)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100569","名企90套餐(FMQ90)","2006/10/20","2099/1/1","0","0"
"BSS数据通信","99400155","联通专网协议套餐1313元","2006/11/1","2050/12/31","0","0"
"BSS网元出租","99400097","联通专网协议套餐4615元","2006/11/1","2050/12/31","0","0"
"BSS数据通信","99400055","联通专网协议套餐2430元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99400276","UL2000-80市话9折(LL2K80)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99100047","月租25，市话（除区间）8折(LL2R25)","2000/1/1","2099/1/1 23:59:59","57.08","2"
"BSS固定电话","99100521","月租、市话免费(LFLR)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100271","基本通话费9折(LL1R50)","2000/1/1","2099/1/1 23:59:59","81.33","1"
"BSS固定电话","99100571","名企2700套餐(FMQ2K7)","2006/10/20","2099/1/1","0","0"
"BSS数据通信","99400161","联通专网协议套餐1224元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99400283","基本通话费8折(LMH)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99400305","[基本通话费9折](LQB1)","2000/1/31","2099/12/31","0","0"
"BSS数据通信","99400099","联通专网协议套餐2925元","2006/11/1","2050/12/31","0","0"
"BSS互联网","99200061","办公2MFTTH6M任性用","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100008","郊县居民用户,月租16.2,市话(除区间)9折(LL1R12)","2000/1/1","2099/1/1 23:59:59","2774.36","56"
"BSS数据通信","99400159","联通专网协议套餐2916元","2006/11/1","2050/12/31","0","0"
"BSS数据通信","99400133","联通专线公免产品需求3600元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99400279","[ISDN正常计时](LID3)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99400310","标准无优惠资费(LGY1)","2000/1/1","2099/12/31","0","0"
"BSS数据通信","99400174","联通专网协议套餐3450元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99401704","B卡2.5折套餐","2000/1/1","2050/12/31","0","0"
